#{"t_start": 1749043248.6897776, "env_id": "Pendulum-v1"}
r,l,t
-421.589415,200,234.310853
-250.396013,200,234.678467
-243.85974,200,234.964055
-419.351118,200,235.236996
-126.375277,200,235.538233
-131.751185,200,235.784026
-251.533876,200,236.02809
-256.9065,200,236.271663
-253.445853,200,238.692521
-126.453553,200,238.917262
-127.521549,200,239.132961
-251.887958,200,239.365933
-2.981873,200,239.590694
-6.667501,200,239.818827
-1.965639,200,240.076021
-511.571604,200,240.419567
-2.005177,200,240.712088
-357.003369,200,240.978919
-127.742117,200,243.289186
-241.862396,200,243.567168
-256.532228,200,243.780154
-244.50432,200,243.99297
-360.870544,200,244.266719
-3.405834,200,244.565669
-125.773637,200,244.931975
-130.861284,200,245.271195
-248.765158,200,245.523123
-128.291285,200,246.751663
-120.508594,200,248.667052
-243.195759,200,248.88237
-123.417515,200,249.108956
-258.683609,200,249.346573
-127.535175,200,249.571966
-123.879079,200,249.826069
-415.380049,200,250.041435
-126.752153,200,250.275365
-241.535098,200,250.501936
-247.493482,200,250.718649
-252.681438,200,250.932973
-359.695711,200,252.923882
-243.791445,200,253.143317
-360.138774,200,253.366969
-245.594237,200,253.591422
-363.217993,200,253.807091
-126.238488,200,254.018134
-430.073176,200,254.24043
-126.05365,200,254.460065
-1.939706,200,254.668494
-242.445599,200,254.883177
-247.70222,200,256.881357
-239.155994,200,257.101229
-249.529555,200,257.331681
-119.603783,200,257.582041
-366.318865,200,257.806868
-128.399416,200,258.021586
-127.775243,200,258.2487
-244.607291,200,258.460041
-667.080135,200,258.685704
-128.032797,200,258.893833
-368.910048,200,260.887643
-802.013873,200,261.114472
-132.302072,200,261.338422
-125.977594,200,261.562415
-244.684581,200,261.774064
-124.15469,200,261.987749
-788.57347,200,262.220412
-124.538323,200,262.4369
-247.877357,200,262.656822
-649.882098,200,262.875384
-128.080377,200,264.776732
-125.991923,200,264.992867
-237.69684,200,265.231349
-7.443788,200,265.451089
-3.2797,200,265.669999
-118.730188,200,265.880541
-356.892279,200,266.095433
-1.555553,200,266.317435
-129.104513,200,266.539375
-259.216763,200,266.751836
-128.996543,200,268.664603
-119.674713,200,268.981132
-900.453316,200,269.270784
-1.847461,200,269.487618
-118.442327,200,269.698314
-248.826403,200,269.912762
-919.860548,200,270.130199
-773.336953,200,270.365181
-128.191031,200,270.603452
-127.812938,200,270.825022
-836.34524,200,271.041768
-127.211928,200,273.031232
-949.32613,200,273.26398
-430.505533,200,273.47596
-127.416427,200,273.690557
-120.47413,200,273.9078
-248.776358,200,274.122052
-722.808381,200,274.346638
-907.270525,200,274.562322
-130.784919,200,274.774828
-394.800562,200,274.992655
-237.480062,200,276.968759
-246.434314,200,277.202318
-126.115703,200,277.416467
-128.109795,200,277.629929
-0.919177,200,277.841569
-1.001477,200,278.053445
-358.168497,200,278.276367
-118.634758,200,278.492999
-127.574338,200,278.707504
-127.284107,200,278.927511
-446.172772,200,280.937605
-1.037092,200,281.157286
-542.395362,200,281.380487
-2.639496,200,281.589031
-241.177224,200,281.802994
-123.466867,200,282.016016
-240.976345,200,282.245023
-129.535941,200,282.457224
-7.462803,200,282.671715
-0.867883,200,282.883395
-236.07468,200,284.815079
-126.113144,200,285.032212
-131.729938,200,285.269738
-122.33711,200,285.506738
-127.010741,200,285.739702
-244.215767,200,285.952862
-124.041764,200,286.182299
-1.899637,200,287.396143
-128.088497,200,287.659692
-361.269227,200,287.864425
-249.772268,200,288.105466
-259.612251,200,290.129759
-127.95122,200,290.353791
-336.112052,200,290.581491
-376.32976,200,290.799913
-243.537814,200,291.016146
-130.91025,200,291.255027
-129.261811,200,291.485842
-859.113672,200,291.704471
-123.8652,200,291.942969
-1.214603,200,292.164053
-125.065572,200,294.021529
-130.561214,200,294.253471
-127.506687,200,294.464433
-335.195364,200,294.681647
-246.640056,200,294.8949
-248.977663,200,295.113081
-258.523242,200,295.347984
-116.646865,200,295.570685
-125.200162,200,295.793389
-129.105191,200,296.014153
-797.570351,200,297.985722
-129.779378,200,298.219767
-4.967736,200,298.431035
-403.71169,200,298.645243
-647.486984,200,298.863206
-1.90235,200,299.088888
-255.55246,200,299.344709
-244.485492,200,299.570575
-235.25709,200,299.784199
-769.499116,200,300.005892
-241.84219,200,302.582631
-248.914575,200,302.812671
-658.982483,200,303.037267
-121.999366,200,303.260663
-125.850254,200,303.468957
-456.161304,200,303.679876
-1.611593,200,303.890749
-5.194841,200,304.098906
-632.104411,200,304.32778
-389.898921,200,304.544022
-250.96395,200,304.752147
-253.182562,200,307.01106
-5.088244,200,307.301143
-249.16591,200,307.525359
-123.449863,200,307.742342
-131.681703,200,308.011209
-128.478539,200,308.260196
-118.641406,200,308.633125
-373.533197,200,308.861166
-255.200024,200,309.090369
-1.923738,200,309.394043
-1.065287,200,311.649065
-251.093428,200,311.874348
-121.827006,200,312.089014
-4.271801,200,312.318879
-129.099547,200,312.541684
-382.198844,200,312.76442
-126.744188,200,312.980931
-128.555072,200,313.215531
-329.136872,200,313.42984
-128.31664,200,313.647371
-123.09134,200,315.628273
-258.028309,200,315.84869
-1.052195,200,316.084121
-246.261579,200,316.315215
-122.470242,200,316.540554
-248.058267,200,316.761445
-2.031589,200,316.97626
-121.838487,200,317.213133
-0.859574,200,317.437772
-385.790815,200,317.682173
-246.519256,200,319.579929
-128.333986,200,319.793826
-244.694151,200,320.008502
-121.719125,200,320.243054
-501.739054,200,320.46409
-125.612862,200,320.679608
-122.896553,200,320.897458
-416.090171,200,321.124663
-245.56405,200,321.355234
-1.491412,200,321.577981
-123.443669,200,321.793834
-246.48729,200,323.727804
-244.320633,200,323.948684
-129.44966,200,324.17128
-1.073333,200,324.386446
-245.791248,200,324.596338
-130.371343,200,324.811277
-247.607055,200,325.031159
-518.694285,200,325.260589
-116.845457,200,325.500193
-0.756884,200,325.72157
-129.275424,200,327.634777
-252.244716,200,327.850318
-121.618112,200,328.069216
-119.830382,200,328.297859
-129.481248,200,329.452422
-123.873942,200,329.674366
-127.44716,200,329.889284
-128.60201,200,330.107678
-117.16276,200,330.331329
-498.504882,200,330.557895
-331.295571,200,332.523587
-2.62553,200,332.751256
-126.782155,200,332.974411
-254.946828,200,333.213001
-122.989775,200,333.434923
-130.730621,200,333.655746
